NAME,POS,AGE,HT (in),WT (lb)
J.J. Barea,PG,33,72,185
Harrison Barnes,SF,25,80,225
Kyle Collinsworth,PG,26,78,210
Seth Curry,SG,27,74,185
Yogi Ferrell,PG,24,72,180
Dorian Finney-Smith,SF,24,80,220
Aaron Harrison,SG,23,78,210
Scotty Hopson,SG,28,79,230
Jalen Jones,SF,24,79,220
Maximilian Kleber,PF,26,83,220
Wesley Matthews,SG,31,77,220
Doug McDermott,SF,26,80,219
Salah Mejri,C,31,86,235
Johnathan Motley,PF,22,82,230
Nerlens Noel,C,24,83,220
Dirk Nowitzki,C,39,84,245
Dwight Powell,C,26,83,240
Dennis Smith Jr.,PG,20,75,195
